Date,Ticker,Open,High,Low,Close,Volume,Openint,Close_Percent_Change,Period_Change
9/25/1981,AAPL,0.254464286,0.258928571,0.254464286,0.254464286,692160,,-0.129770992,-0.037946429
9/28/1981,AAPL,0.256696429,0.258928571,0.256696429,0.256696429,1834560,,0.00877193,0.002232143
9/29/1981,AAPL,0.270089286,0.272321429,0.270089286,0.270089286,1893696,,0.052173913,0.013392857
9/30/1981,AAPL,0.272321429,0.274553571,0.272321429,0.272321429,999936,,0.008264463,0.002232143
10/1/1981,AAPL,0.272321429,0.274553571,0.272321429,0.272321429,1222592,,0,0
10/2/1981,AAPL,0.294642857,0.296875,0.294642857,0.294642857,900928,,0.081967213,0.022321429
10/5/1981,AAPL,0.303571429,0.308035714,0.303571429,0.303571429,861952,,0.03030303,0.008928571
10/6/1981,AAPL,0.301339286,0.303571429,0.301339286,0.301339286,567168,,-0.007352941,-0.002232143
10/7/1981,AAPL,0.319196429,0.323660714,0.319196429,0.319196429,776832,,0.059259259,0.017857143
10/8/1981,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,621824,,0.034965035,0.011160714
10/9/1981,AAPL,0.332589286,0.337053571,0.332589286,0.332589286,1090432,,0.006756757,0.002232143
10/12/1981,AAPL,0.34375,0.345982143,0.34375,0.34375,547008,,0.033557047,0.011160714
10/13/1981,AAPL,0.34375,0.348214286,0.34375,0.34375,883904,,0,0
10/14/1981,AAPL,0.323660714,0.325892857,0.323660714,0.323660714,619584,,-0.058441558,-0.020089286
10/15/1981,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,588672,,0.020689655,0.006696429
10/16/1981,AAPL,0.325892857,0.328125,0.325892857,0.325892857,729344,,-0.013513514,-0.004464286
10/19/1981,AAPL,0.332589286,0.334821429,0.332589286,0.332589286,411712,,0.020547945,0.006696429
10/20/1981,AAPL,0.350446429,0.352678571,0.350446429,0.350446429,714560,,0.053691275,0.017857143
10/21/1981,AAPL,0.350446429,0.352678571,0.350446429,0.350446429,1537984,,0,0
10/22/1981,AAPL,0.348214286,0.350446429,0.348214286,0.348214286,645568,,-0.006369427,-0.002232143
10/23/1981,AAPL,0.339285714,0.341517857,0.339285714,0.339285714,558208,,-0.025641026,-0.008928571
10/26/1981,AAPL,0.339285714,0.341517857,0.339285714,0.339285714,545664,,0,0
10/27/1981,AAPL,0.345982143,0.350446429,0.345982143,0.345982143,1711808,,0.019736842,0.006696429
10/28/1981,AAPL,0.357142857,0.359375,0.357142857,0.357142857,883456,,0.032258065,0.011160714
10/29/1981,AAPL,0.352678571,0.354910714,0.352678571,0.352678571,609728,,-0.0125,-0.004464286
10/30/1981,AAPL,0.357142857,0.359375,0.357142857,0.357142857,1054592,,0.012658228,0.004464286
11/2/1981,AAPL,0.357142857,0.359375,0.357142857,0.357142857,738304,,0,0
11/3/1981,AAPL,0.352678571,0.354910714,0.352678571,0.352678571,567616,,-0.0125,-0.004464286
11/4/1981,AAPL,0.34375,0.345982143,0.34375,0.34375,476224,,-0.025316456,-0.008928571
11/5/1981,AAPL,0.319196429,0.321428571,0.319196429,0.319196429,467264,,-0.071428571,-0.024553571
11/6/1981,AAPL,0.321428571,0.323660714,0.321428571,0.321428571,491904,,0.006993007,0.002232143
11/9/1981,AAPL,0.325892857,0.328125,0.325892857,0.325892857,407680,,0.013888889,0.004464286
11/10/1981,AAPL,0.328125,0.330357143,0.328125,0.328125,335104,,0.006849315,0.002232143
11/11/1981,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,548800,,0.027210884,0.008928571
11/12/1981,AAPL,0.348214286,0.350446429,0.348214286,0.348214286,798336,,0.033112583,0.011160714
11/13/1981,AAPL,0.323660714,0.325892857,0.323660714,0.323660714,420224,,-0.070512821,-0.024553571
11/16/1981,AAPL,0.319196429,0.321428571,0.319196429,0.319196429,451136,,-0.013793103,-0.004464286
11/17/1981,AAPL,0.325892857,0.328125,0.325892857,0.325892857,708288,,0.020979021,0.006696429
11/18/1981,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,582848,,0.034246575,0.011160714
11/19/1981,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,800128,,0,0
11/20/1981,AAPL,0.339285714,0.341517857,0.339285714,0.339285714,762048,,0.006622517,0.002232143
11/23/1981,AAPL,0.323660714,0.328125,0.323660714,0.323660714,459200,,-0.046052632,-0.015625
11/24/1981,AAPL,0.321428571,0.323660714,0.321428571,0.321428571,443072,,-0.006896552,-0.002232143
11/25/1981,AAPL,0.328125,0.330357143,0.328125,0.328125,1051008,,0.020833333,0.006696429
11/27/1981,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,745024,,0.027210884,0.008928571
11/30/1981,AAPL,0.332589286,0.334821429,0.332589286,0.332589286,479360,,-0.013245033,-0.004464286
12/1/1981,AAPL,0.332589286,0.334821429,0.332589286,0.332589286,467712,,0,0
12/2/1981,AAPL,0.334821429,0.337053571,0.334821429,0.334821429,751296,,0.006711409,0.002232143
12/3/1981,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,408576,,-0.013333333,-0.004464286
12/4/1981,AAPL,0.339285714,0.341517857,0.339285714,0.339285714,2743104,,0.027027027,0.008928571
12/7/1981,AAPL,0.341517857,0.34375,0.341517857,0.341517857,1185856,,0.006578947,0.002232143
12/8/1981,AAPL,0.334821429,0.339285714,0.334821429,0.334821429,1012480,,-0.019607843,-0.006696429
12/9/1981,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,685440,,0.006666667,0.002232143
12/10/1981,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,748160,,0,0
12/11/1981,AAPL,0.334821429,0.339285714,0.334821429,0.334821429,1521856,,-0.006622517,-0.002232143
12/14/1981,AAPL,0.323660714,0.328125,0.323660714,0.323660714,504896,,-0.033333333,-0.011160714
12/15/1981,AAPL,0.332589286,0.334821429,0.332589286,0.332589286,626304,,0.027586207,0.008928571
12/16/1981,AAPL,0.348214286,0.350446429,0.348214286,0.348214286,1309056,,0.046979866,0.015625
12/17/1981,AAPL,0.377232143,0.379464286,0.377232143,0.377232143,1029056,,0.083333333,0.029017857
12/18/1981,AAPL,0.408482143,0.410714286,0.408482143,0.408482143,1434496,,0.082840237,0.03125
12/21/1981,AAPL,0.390625,0.392857143,0.390625,0.390625,1128064,,-0.043715847,-0.017857143
12/22/1981,AAPL,0.397321429,0.399553571,0.397321429,0.397321429,1076544,,0.017142857,0.006696429
12/23/1981,AAPL,0.388392857,0.390625,0.388392857,0.388392857,577920,,-0.02247191,-0.008928571
12/24/1981,AAPL,0.390625,0.392857143,0.390625,0.390625,578368,,0.005747126,0.002232143
12/28/1981,AAPL,0.372767857,0.377232143,0.372767857,0.372767857,731584,,-0.045714286,-0.017857143
12/29/1981,AAPL,0.379464286,0.383928571,0.379464286,0.379464286,484736,,0.017964072,0.006696429
12/30/1981,AAPL,0.395089286,0.397321429,0.395089286,0.395089286,643776,,0.041176471,0.015625
12/31/1981,AAPL,0.395089286,0.397321429,0.395089286,0.395089286,1093120,,0,0
1/4/1982,AAPL,0.392857143,0.395089286,0.392857143,0.392857143,1425088,,-0.005649718,-0.002232143
1/5/1982,AAPL,0.372767857,0.377232143,0.372767857,0.372767857,716800,,-0.051136364,-0.020089286
1/6/1982,AAPL,0.368303571,0.370535714,0.368303571,0.368303571,1321600,,-0.011976048,-0.004464286
1/7/1982,AAPL,0.339285714,0.34375,0.339285714,0.339285714,1400896,,-0.078787879,-0.029017857
1/8/1982,AAPL,0.354910714,0.357142857,0.354910714,0.354910714,1132096,,0.046052632,0.015625
1/11/1982,AAPL,0.332589286,0.334821429,0.332589286,0.332589286,666624,,-0.062893082,-0.022321429
1/12/1982,AAPL,0.321428571,0.323660714,0.321428571,0.321428571,1198400,,-0.033557047,-0.011160714
1/13/1982,AAPL,0.319196429,0.321428571,0.319196429,0.319196429,835072,,-0.006944444,-0.002232143
1/14/1982,AAPL,0.334821429,0.337053571,0.334821429,0.334821429,514304,,0.048951049,0.015625
1/15/1982,AAPL,0.357142857,0.361607143,0.357142857,0.357142857,934080,,0.066666667,0.022321429
1/18/1982,AAPL,0.363839286,0.368303571,0.363839286,0.363839286,560000,,0.01875,0.006696429
1/19/1982,AAPL,0.354910714,0.359375,0.354910714,0.354910714,1110144,,-0.024539877,-0.008928571
1/20/1982,AAPL,0.361607143,0.363839286,0.361607143,0.361607143,516544,,0.018867925,0.006696429
1/21/1982,AAPL,0.368303571,0.370535714,0.368303571,0.368303571,666624,,0.018518519,0.006696429
1/22/1982,AAPL,0.370535714,0.372767857,0.370535714,0.370535714,485184,,0.006060606,0.002232143
1/25/1982,AAPL,0.359375,0.361607143,0.359375,0.359375,894208,,-0.030120482,-0.011160714
1/26/1982,AAPL,0.345982143,0.350446429,0.345982143,0.345982143,424256,,-0.037267081,-0.013392857
1/27/1982,AAPL,0.348214286,0.352678571,0.348214286,0.348214286,627200,,0.006451613,0.002232143
1/28/1982,AAPL,0.359375,0.361607143,0.359375,0.359375,792064,,0.032051282,0.011160714
1/29/1982,AAPL,0.363839286,0.366071429,0.363839286,0.363839286,1063104,,0.01242236,0.004464286
2/1/1982,AAPL,0.359375,0.363839286,0.359375,0.359375,770560,,-0.012269939,-0.004464286
2/2/1982,AAPL,0.361607143,0.366071429,0.361607143,0.361607143,1085504,,0.00621118,0.002232143
2/3/1982,AAPL,0.361607143,0.363839286,0.361607143,0.361607143,629440,,0,0
2/4/1982,AAPL,0.352678571,0.354910714,0.352678571,0.352678571,440832,,-0.024691358,-0.008928571
2/5/1982,AAPL,0.352678571,0.354910714,0.352678571,0.352678571,805952,,0,0
2/8/1982,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,633920,,-0.063291139,-0.022321429
2/9/1982,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,1158080,,0,0
2/10/1982,AAPL,0.334821429,0.337053571,0.334821429,0.334821429,775936,,0.013513514,0.004464286
2/11/1982,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,490560,,-0.013333333,-0.004464286
2/12/1982,AAPL,0.334821429,0.337053571,0.334821429,0.334821429,392896,,0.013513514,0.004464286
2/16/1982,AAPL,0.328125,0.330357143,0.328125,0.328125,686336,,-0.02,-0.006696429
2/17/1982,AAPL,0.332589286,0.334821429,0.332589286,0.332589286,511616,,0.013605442,0.004464286
2/18/1982,AAPL,0.337053571,0.339285714,0.337053571,0.337053571,567616,,0.013422819,0.004464286
2/19/1982,AAPL,0.334821429,0.337053571,0.334821429,0.334821429,271936,,-0.006622517,-0.002232143
2/22/1982,AAPL,0.330357143,0.332589286,0.330357143,0.330357143,532672,,-0.013333333,-0.004464286
2/23/1982,AAPL,0.325892857,0.328125,0.325892857,0.325892857,690816,,-0.013513514,-0.004464286
2/24/1982,AAPL,0.328125,0.330357143,0.328125,0.328125,758912,,0.006849315,0.002232143
2/25/1982,AAPL,0.325892857,0.328125,0.325892857,0.325892857,616000,,-0.006802721,-0.002232143
2/26/1982,AAPL,0.325892857,0.328125,0.325892857,0.325892857,348544,,0,0
3/1/1982,AAPL,0.328125,0.330357143,0.328125,0.328125,706048,,0.006849315,0.002232143
3/2/1982,AAPL,0.328125,0.330357143,0.328125,0.328125,696192,,0,0
3/3/1982,AAPL,0.328125,0.330357143,0.328125,0.328125,473088,,0,0
3/4/1982,AAPL,0.321428571,0.323660714,0.321428571,0.321428571,767424,,-0.020408163,-0.006696429
3/5/1982,AAPL,0.296875,0.299107143,0.296875,0.296875,906304,,-0.076388889,-0.024553571
3/8/1982,AAPL,0.292410714,0.294642857,0.292410714,0.292410714,702912,,-0.015037594,-0.004464286
3/9/1982,AAPL,0.294642857,0.296875,0.294642857,0.294642857,1050112,,0.007633588,0.002232143
3/10/1982,AAPL,0.290178571,0.292410714,0.290178571,0.290178571,1738688,,-0.015151515,-0.004464286
3/11/1982,AAPL,0.290178571,0.294642857,0.290178571,0.290178571,451584,,0,0
3/12/1982,AAPL,0.272321429,0.274553571,0.272321429,0.272321429,930944,,-0.061538462,-0.017857143
